name,location,price,price_for,room_type,beds,rating,rating_title
Dyar Al Hamra Hotel,Jeddah,340,"1 night, 1 adult",Junior Suite King,1 extra-large double bed,7.7,Good
M?venpick Hotel City Star Jeddah,Jeddah,440,"1 night, 1 adult",Superior King Room,1 extra-large double bed,8.5,Very good
Kyona Purple -Al Qurayat,Jeddah,130,"1 night, 2 adults",Studio,2 single beds,8.4,Very good
فندق ضيوف النباريس,Jeddah,85,"1 night, 2 adults",Studio,Multiple bed types,5.4,Review score
Staytion First - Al Zahra,Jeddah,170,"1 night, 2 adults",Studio Apartment,1 large double bed,8.8,Fabulous
العييري للوحات المفروشة جدة 5,Jeddah,86,"1 night, 2 adults",Double Room with Private Bathroom,"3 beds
(2 singles, 1 double)",5.9,Review score
Touq Balad,Jeddah,175,"1 night, 2 adults",Budget Double Room,1 large double bed,8.4,Very good
توجاردن الحرمين,Jeddah,200,"1 night, 2 adults",Executive Suite,"2 beds
(1 double, 1 sofa bed)",9,Superb
The first diamond الماسيه الاولي,Jeddah,225,"1 night, 2 adults",Economy Double Room,1 extra-large double bed,8.3,Very good
شاطئ الحياة للأجنحة الفندقية,Jeddah,187,"1 night, 2 adults",Studio,1 extra-large double bed,8.1,Very good
Al Rose Al Motamaiza Furnished Apartment,Jeddah,185,"1 night, 2 adults",One-Bedroom Apartment,1 double bed,7.3,Good
Jamjoom Hotel - فندق الجمجوم,Jeddah,131,"1 night, 2 adults",Deluxe King Room,1 extra-large double bed,6.2,Review score
Diamond Elite hotel,Jeddah,225,"1 night, 2 adults",Twin Room,2 single beds,8.4,Very good
Swiss EYE,Jeddah,219,"1 night, 2 adults",Deluxe Twin Room,2 single beds,7.6,Good
Al Hamra Palace ApartHotel Falastin,Jeddah,170,"1 night, 2 adults",Deluxe Studio,1 extra-large double bed,6.7,Review score
برج سما للشقق المفروشة,Jeddah,102,"1 night, 2 adults",Studio,2 single beds,6.3,Review score
Ebreez Hotel,Jeddah,200,"1 night, 2 adults",Deluxe King Room,1 extra-large double bed,7.5,Good
Hawadah Hotel,Jeddah,230,"1 night, 2 adults",Standard Double Room,1 extra-large double bed,7.3,Good
Durrat Hira ApartHotel,Jeddah,163,"1 night, 2 adults",Studio,1 large double bed,8.1,Very good
Acacia Aparthotel,Jeddah,144,"1 night, 2 adults",Economy Double Room,1 extra-large double bed,7.4,Good
فندق النهضة Al Nahda Hotel,Jeddah,111,"1 night, 2 adults",Studio,Beds: 1 double or 2 singles,6.3,Review score
Afaq Jeddah,Jeddah,162,"1 night, 2 adults",Budget Double Room,1 extra-large double bed,6.8,Review score
Bhadur Resort Jeddah,Jeddah,600,"1 night, 2 adults",Standard  Room,Beds: 1 double or 2 singles,5.7,Review score
رواسل,Jeddah,168,"1 night, 2 adults",Superior Twin Room,2 single beds,8.1,Very good
